review_id,date,user_name,stars,review,product_id,product,reply_by,reply
29016222,2026-05-20,جعفری,5,رنگش از چیزی که فکر می‌کردم خوشگلتره. بوی خوبی هم میده.,39778976,لیپ پلامپر گل جی جی بیر GeGe Bear | حجمدهنده و برق لب فانتزی,علی خلیلی,مبارکتون باشه بله این لیپ پلامپر واقعا عالیه 😊
29016173,2026-05-20,جعفری,5,رنگ و پیگمنت خوبی داره، ماندگاریش هم بالاست. برای لب و گونه میشه استفاده کرد. زود هم ارسال کردن🙏,41405940,تینت لب ژله ای قهوه ای هدی موجی,علی خلیلی,خوشحالیم که تجربه خوبی داشتید 
28841058,2026-05-16,فاطمه نظری,5,بسیار خوش برخوردی بودن و ممنونم,43777537,پک کرم دست 6 عددی مدل فانتزی سادور Sadoer مناسب هدیه,علی خلیلی,سلام ممنونم که نظرتون رو ثبت کردید
28773527,2026-05-14,مرضیه ابراهیمی,5,بوی خوبی داره،ممنون بابت هدیه 🙏🏻,42288279,لوسیون توت فرنگی سادور sadoer,علی خلیلی,خواهش میکنم، مبارکتون باشه 
28738941,2026-05-13,Farzane mahmoodi,5,رکسونا عالیه. قیمت و پاسخگویی فروشگاه عالی بود . من عجله داشتم خیلی سریع برام ارسال کردن .,35209616,اسپری ضد تعریق زنانه رکسونا Rexona مدل Cotton Dry روسی,علی خلیلی,شما مشتری خوب ما هستید هر موقع از روز میتونید ارتباط بگیرید براتون از ساعت 10 تا 12 شب ارسال میکنیم 😊
28684210,2026-05-12,زهراحجازی,5,سلام برای بار دوم بود که از این غرفه خرید کردم. جدای از کیفیت محصولات و ارسال سریعشون ، جا داره که از برخورد و رفتار غرفه دار محترم تشکر و قدردانی کنم. انشالله کسب و کارتون پر رونق و پربرکت باشه.,43839048,تونر توت فرنگی 130 میل سادور Sadoer,علی خلیلی,سلام ممنونم که نظرتون رو با بقیه دوستان به اشتراک گذاشتید 
28684055,2026-05-12,زهرا همتی,5,خیلییی عالی بود,43804902,کرم دست مینی 20 گرمی بستنی توت فرنگی سادور Sadoer,,
28630794,2026-05-11,پریا عسگری,5,خوشرنگ بود و خوب پخش میشد,43448780,تینت لب قهوه ای اسنس Essence در سه رنگ,علی خلیلی,سلام خوشحالیم راضی هستید 
28623274,2026-05-11,پریسا انتظاری,5,من 101 رو گرفتم واقعا عالی بود . کاور خوب و کاملا قشنگ رو پوست میخوابه . محصولم اصل هست با خیال راحت از این غرفه خرید کنید.,38615116,کرم پودر گابرینی تیوپی مدل Derma اصل,علی خلیلی,سلام خوشحالیم که رضایت شما را کسب کردیم 
28521547,2026-05-09,زهرا سبحانی,5,عالیه,41293677,ریمل هدی موجی hudamoji در سه مدل,,
28438814,2026-05-06,حسنی,4,عالی بود,42255436,کانسیلر پد دار اولیبولا olibolla,,
28424050,2026-05-06,زینب خوشسیرت,1,خوب نبود اصلا فیکس نمیکنه,42247030,ژل لیفت ابرو اولیبولا حجم 4.5 میل ضد آب و تقویت کننده,,
28424012,2026-05-06,زینب خوشسیرت,5,عالی,40839482,کرم آبرسان برنج 50 گرم,,
28424001,2026-05-06,زینب خوشسیرت,5,عالی,37312037,ماسک موی آرگان لایتنس حجم 1000 میلیلیتر (با ضمانت اصالت کالا),,
28418396,2026-05-06,Barzegar,5,عالی,42414699,کیسه آب مخملی سایز متوسط طرح تدی,,
28418365,2026-05-06,Barzegar,5,واقعا خوب و با کیفیته,41478220,خط لب دراگون نود به صورت تک,,
28418341,2026-05-06,Barzegar,5,خیلی سریع ارسال کردن برخورد عالی چندمین خریدم از این این غرفه ایت مثل همیشه عاااالی,42255436,کانسیلر پد دار اولیبولا olibolla,علی خلیلی,سلام خیلی خوشحالیم که مشتری خوبی مثل شما داریم😊
28418307,2026-05-06,Barzegar,5,خیلی خوب بود,42272156,پک بالم لب کرم دست توت فرنگی سادور SADOER مناسب هدیه,,
28375519,2026-05-05,مرضیه هادی,5,خرید های اینترنتی زیادی کردم و خب خیلی از کیفیت خبری نبود ولی این محصول نظرمو عوض کرد محصول بافت،بو،رنگ خیلی خوبی رو داشت بسته سالم و بدون آسیب به دستم رسید و کاملا راضی بودم به انتخاب کالا و غرفه,42245099,برق لب عسلی آویز دار اولیبولا olibolla,علی خلیلی,سلام خیلی خوشحالیم که تونستیم رضایت شمارو کسب کنیم 
28330656,2026-05-04,قاسم جمالی,3,سلام به نسبت قیمت خوب بود .,40114449,اسپری خوشبوکننده بدن زنانه ویوا کاپیو (Viva Cappio) مدل Hunca حجم 150 میل,,
28324615,2026-05-04,هدیه گرگین,5,وقتی صورتمو باهاش شستم نرم شد اصلا صورتمو خشک نکردبوی خوبی هم داره ممنون🍓🎀,42786252,فوم شوینده کلاژن مدل تیوپی 100 گرم,علی خلیلی,سلام خوشحالیم که راضی هستید 
28320711,2026-05-04,افسانه همتی حافظی,5,عالی,41293677,ریمل هدی موجی hudamoji در سه مدل,,
28304002,2026-05-04,علیرضا فاتحی,5,تشکر مورد پسند و به موقع دستم رسید,35209738,پد آرایش پاککن سکه ای ایپک Ipek بسته 70 عددی,,
28192387,2026-05-01,میناگودینی,4,خوشرنگه، اما از نظر ماندگاری مث بالم لب رنگی میمونه و ماندگاری نداره، پیگمنت خوبی داره و راحت پخش میشه و سبکه,38801748,رژ لب مایع کیکو میلانو Kiko Milano (های کپی),,
28185736,2026-05-01,سمانه نظری,5,زیبا و خوشگل,42338918,پک مراقبتی 6 عددی بلوبری سادور SADOER مناسب هدیه,علی خلیلی,مبارکتون باشه 
28170075,2026-04-30,محمدی,5,با کیفیت بود,39777855,مداد چشم شمعی شیگلم SHEGLAM های کپی با کیفیت A+,,
28167155,2026-04-30,فاطمه‌موسوی,5,از تحویل به موقع و رفتار خوب فروشنده ممنونم🙏🏻,40473878,شامپو ضد ریزش کوانتوم موهای چرب 300 میل,علی خلیلی,سلام خوشحالم که راضی هستید 
28166160,2026-04-30,عبدالغفار حق شناس,5,کیفیت عالی ارسال سریع ممنون از غرفه دار,42233430,ریمل سوزنی Gege Bear بلند کننده و حالت دهنده,علی خلیلی,سلام ممنونم نظرتون رو ثبت کردید
28114532,2026-04-29,عاطفه رستگار,5,جنس براش عالی بود زود به دستم رسید,40835546,ست براش 10 عددی کیفی,,
28100460,2026-04-28,زینب آقازاده,5,بافت سبکی داشت و برای روزمره خوبع,39897050,ضد آفتاب رنگی استلین SPF 70 (50 گرم) - Estelin,,
28000965,2026-04-26,زهرا سلیمانی,5,ارسال سریع مشتری مداری عالی محصولات تاریخ دار و اصل بسته بندی جذاب. باتشکر از غرفه دار محترم,39917010,ژل شستشوی صورت سیمپل مدل Water Boost حجم 150 میل,,
28000901,2026-04-26,زهرا سلیمانی,5,با تشکر از غرفه دار محترم. فاصله ی ثبت تا تحویل فقط نیم ساعت طول کشید، محصولات عالی. بسته بندی زیبا و جذاب. توصیه میکنم برای داشتن باکس های جذابشون یکبارهم که شده خرید کنید,42377443,تونر ضد جوش و روشن کننده برنج,علی خلیلی,سلام خوشحالیم که که تجربه خوبی رو پیش ما داشتید 
